Tema,Códigos Iniciais Agrupados,Descrição do Tema
Compreensão das instruções de controle e garras,"instrução de controle compreendida, instrução confusa ou ausente, instrução das garras compreendida, esqueceu da instrução, mais explicações para as garras","As instruções relacionadas ao controle do submarino e ao uso das garras foram compreendidas por alguns participantes, mas outros relataram confusão, ausência de instrução, ou esqueceram o conteúdo. Alguns pediram reforço explicativo."
Compreensão das instruções de cura,"instrução de cura compreendida, mais explicações para a cura","As instruções para o processo de cura foram em geral bem assimiladas, com alguns participantes pedindo mais explicações sobre a lógica da tarefa, especialmente o propósito de acertar o ponteiro na zona verde."
Demanda por instruções complementares,"mais explicações para o radar, radar mais visivel, instruções de como iniciar o jogo, instrução insuficiente, sem necessidade de instruções adicionais, nada para acrescentar","Alguns participantes indicaram necessidade de instruções adicionais, como explicações sobre o radar, início do jogo ou reforço visual. Outros afirmaram não sentir falta de instruções extras."
Problemas de sincronização das instruções,instrução aparecendo no momento errado,"Um participante mencionou que algumas instruções apareciam em momentos que não correspondiam à tarefa atual, dificultando o uso adequado da informação."
O jogo exige que o usuário se concentre para executar as tarefas,"exigência de concentração até a metade do jogo, maior concentração para capturar o peixe, maior concentração para procurar o peixe, maior concentração para entender o mapa, maio concentração para mover o submarino, maior concentração para curar o peixe, maior esforço para lembrar dos botões, concemtração por impaciência","Os participantes relataram precisar de mais foco em tarefas como capturar ou procurar peixes, controlar o submarino, curar os animais ou lidar com frustração. Isso mostra que a carga cognitiva variava conforme o desafio enfrentado."
As tarefas relacionadas ao radar e à captura foram percebidas como as mais desafiadoras pelos usuários,"maior esforço para mover as garras, maior esforço para capturar o peixe, maior esforço para entender o mapa, maior esforço para currar o peixe","Alguns participantes relataram que certas tarefas exigiram mais esforço do que imaginavam, como mover as garras, capturar peixes, curar os peixes ou interpretar o mapa."
Somente 2 usuários sentiram algum desconforto,"dor de cabeça, tontura, zumbido no ouvido, sem desconforto físico","Embora a maioria tenha relatado não ter desconforto físico, alguns participantes citaram sintomas como dor de cabeça, tontura, zumbido no ouvido ou desconforto visual relacionado à movimentação da tela."
Sem necessidade de pausas por desconforto,"congitou interromper, dar uma resperada, tensão, sem necessidade de interrupção","Enquanto alguns participantes mencionaram vontade de pausar o jogo por frustração ou desconforto, a maioria relatou não ter sentido necessidade de interromper a experiência."
Imersão e presença no ambiente virtual,"surpresa com a imersão, surpresa com o controle da garra","Diversos participantes relataram surpresa ao perceberem o nível de imersão proporcionado pelo jogo. O fato de não verem o mundo externo, a movimentação corporal com os controles e a interação direta com os elementos virtuais contribuiu para o sentimento de presença."
Engajamento com missão de cuidado,"engajamento com missão de cuidado, impacto positivo","Alguns jogadores demonstraram envolvimento afetivo com a proposta do jogo, especialmente na cura dos peixes. Relataram satisfação e significado positivo ao compreender que estavam ajudando ou cuidando de algo."
Impacto visual e estético positivo,impacto visual positivo,"Participantes destacaram a beleza dos gráficos, o realismo do ambiente submarino e o cuidado visual com os animais. Esse impacto estético gerou admiração, surpresa e encantamento durante a experiência."
Momentos de diversão associados a ações específicas,"Diversão na captura, Diversão na busca / navegação, diversão na cura, experiência divertida","A diversão foi associada principalmente a capturar peixes, buscar ou navegar com o submarino e realizar o minigame de cura. Essas ações geraram envolvimento, desafio e sensação de recompensa."
Tédio relacionado ao minigame de cura,"mecânica de cura é tediosa, melhorar a mecânica de cura",Alguns participantes identificaram o minigame de cura como repetitivo ou menos envolvente. Isso gerou respostas que associam essa parte do jogo a sensações de tédio ou desinteresse.
Sugestões para melhorar instruções e feedback,"tentativa e erro para iniciar o jogo, problema na leitura das intruções, falta de feedback, sugestão de mais instruções","Vários participantes sugeriram melhorias nas instruções, como tornar mais claro como iniciar o jogo, interpretar os textos exibidos e indicar o término de tarefas. Também foi apontada a importância de sinais visuais ou de confirmação após certas ações."
Aprimoramentos na mecânica de captura e cura,"melhorarar explicações de captura, melhorarar explicações de cura, crítica à mecânica de captura, melhorarar a mecênica de captura, melhoria  na mecânica de cura, mecânica de cura é tediosa, melhorar a mecânica de cura, dimunuir distênciamento entre objetivo e mecânica na cura, melhoria  na mecânica de identificação do animal marinho","Alguns participantes propuseram ajustes na movimentação das garras e torná-la mais realista, além de tornar o minigame de cura mais desafiador ou significativo. Também foram sugeridas ações adicionais após a captura ou formas mais claras de representar a cura dos peixes."
Melhorias na mecânica de navegação e radar,"melhoria no radar, melhorar a mecânica do radar","Alguns participantes apontaram limitações no radar e na orientação espacial, como dificuldade em entender a frente e o verso do submarino. Foram sugeridas melhorias para tornar o radar mais intuitivo e a navegação mais clara."
Reconhecimento positivo da experiência,"elogio geral ao jogo, experiência inédita mencionada","Participantes elogiaram o jogo como um todo, destacando os gráficos, a proposta e a experiência geral, especialmente entre quem jogava realidade virtual pela primeira vez."
