Macrotema,Participante,Pergunta,Resposta,Códigos Iniciais
4. Controle e Navegação,20250607_1728,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Teve. Em vários momentos. Achei eles novamente testando e apertando os botões.,descoberta por tentativa e erro
4. Controle e Navegação,20250607_1903,O que te fez entender como mover o submarino?,"Primeiro, né, na orientação, que apareceu sobre movimentação, rotação... Lá no início. E depois, testando do meio.","instruções no painel, descoberta por tentativa e erro"
4. Controle e Navegação,20250607_1903,Como foi a sua experiência ao controlar o submarino?,"Foi tranquilo. É um pouco confuso, assim, a rotação para poder se guiar pelo mapa que eu achei, porque eu não entendia muito bem para onde que o submarino estava virado pelo mapa, mas depois acabou acontecendo, assim, foi.",confusão ou dificuldade
4. Controle e Navegação,20250607_1903,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Sim, nessa parte de não saber exatamente pra onde ele tava virado, porque pelo mapa, os peixinhos tão passando ao redor do submarino, mas eu não consegui identificar o certo se ele tava passando muito na minha frente ou ao redor, pra trás. Parecia que o submarino ele só movia, mas o peixe não, sabe? Parece que ele virava assim todo dia. Eu só fiquei procurando peixe e teve uma hora que ele ficou com a bordinha colorida e aí eu sabia que tava de frente pra ele, entendi, eu não soube como resolver.",dificuldade com o radar
4. Controle e Navegação,20250607_1903,Você sentiu que os controles respondiam bem aos seus comandos?,Sim.,controle positivo
4. Controle e Navegação,20250607_1903,Como você identificou no controle o responsável por movimentar o submarino?,Testando e por eu já ter visto a orientação na parte inicial.,"descoberta por tentativa e erro, instruções no painel"
4. Controle e Navegação,20250607_1903,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?","Perdi, teve uma hora que eu esqueci qual era o comando e aí eu tive que testar qual era, se era o de cima ou se era o lateral.","gatilho perdido e recuperado, descoberta por tentativa e erro"
4. Controle e Navegação,20250607_1941,O que te fez entender como mover o submarino?,"Ah, acho que a experiência espelha mesmo. Um iogo, assim.",experiência prévia
4. Controle e Navegação,20250607_1941,Como foi a sua experiência ao controlar o submarino?,"Não foi tão boa, senti falta de alguns controles. Girar em alguns eixos. Mas no geral, tudo bem.",faltou controles
4. Controle e Navegação,20250607_1941,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Acho que... mais por cima de falta desse movimento, mas... É contornado, né? Virar, como se fosse um... No mesmo eixo, sabe? E eu, tipo, ia girar e assim... Aham. Assim... O outro meio que subia e descia. Dei uma volta, assim, no eixo, mais que leve. Ok.",faltou controles
4. Controle e Navegação,20250607_1941,Você sentiu que os controles respondiam bem aos seus comandos?,"Sim. O que eu senti um pouco foi na hora da captura do peixe. Ou garra passava, ou tava muito antes, sabe?","controle positivo, problema com as garras"
4. Controle e Navegação,20250607_1941,Como você identificou no controle o responsável por movimentar o submarino?,Acho que a experiência foi prévia.,experiência prévia
4. Controle e Navegação,20250607_1941,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Não.,gatilhode de fácil localização
4. Controle e Navegação,20250607_2206,O que te fez entender como mover o submarino?,"Acho que eu consegui entender melhor pra frente, pra trás, claro, pro outro, que é meio em dúvida na questão da profundidade, se eu conseguia subir ou descer, isso eu não entendi muito bem. Mas acho que o intuitivo ia ser esse movimento lateral, assim, pelo joystick. Talvez esse movimento da terceira dimensão ali, né, que pode ter ficado um pouco confuso ali, acho que demorei pra pegar. O que fica na mão direita ali.",confusão ou dificuldade
4. Controle e Navegação,20250607_2206,Como foi a sua experiência ao controlar o submarino?,"Cara, teve esse ponto da garra, né, que se perdeu em algum momento, isso incomodou. E o mapa incomodou bastante também, mas o profundidade, se poder ir pra frente, ver os bichinhos, achei tranquilo, achei legal.","dificuldade com o radar, problema com as garras, experiência positiva"
4. Controle e Navegação,20250607_2206,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Cara, não sabia movimentar, não sabia pra onde estava ele, não sabia movimentar o submarino.",confusão ou dificuldade
4. Controle e Navegação,20250607_2206,Você sentiu que os controles respondiam bem aos seus comandos?,Acredito que sim. Responderam bem.,controle positivo
4. Controle e Navegação,20250607_2206,Como você identificou no controle o responsável por movimentar o submarino?,"Acho que foi intuitivo. A movimentação, pelo menos a movimentação pra frente e pra trás, pro lado e pro outro. Não a de profundidade, eu acho que foi mais intuitivo.","intuitivo, problema com emergir e submergir"
4. Controle e Navegação,20250607_2206,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?","Ah, por movimentar o submarino, não.",gatilhode de fácil localização
4. Controle e Navegação,20250608_1448,O que te fez entender como mover o submarino?,"Então, no início tinha a instrução no painel falando pra mover os analógicos do controle.",instruções no painel
4. Controle e Navegação,20250608_1448,Como foi a sua experiência ao controlar o submarino?,"Teve um momento que parecia que tava bugado. Que eu olhei no... Tinha um mapa ali, que tava meio confuso também pra eu ver. E aí eu movi ele pra uma direção. E ele não tava num... O mapa tava indo pra outra. Aí depois ele meio que ajeitou. Eu também fiquei confusa qual era o... Do... Do submarino, qual que era a parte da frente e a de trás também. Fiquei confusa.","confusão ou dificuldade, dificuldade com o radar"
4. Controle e Navegação,20250608_1448,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Submarino não, mas eu não soube como iniciar o jogo. Porque não tinha nenhuma instrução sobre qual botão que eu tinha que apertar para iniciar o jogo. Só ia apertando o tecla botão.","não relacionado, problema para inicar o jogo"
4. Controle e Navegação,20250608_1448,Você sentiu que os controles respondiam bem aos seus comandos?,Exceto nessa vez que eu movimentei o submarino para uma direção e ele não foi.,confusão ou dificuldade
4. Controle e Navegação,20250608_1448,Como você identificou no controle o responsável por movimentar o submarino?,"Foi pela instrução. Ah, eu fui no tátil mesmo, de sentir qual era o botão da alavancazinha, aí movimentou.","entendimento por instrução, descoberta por tentativa e erro"
4. Controle e Navegação,20250608_1448,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Não.,gatilhode de fácil localização
4. Controle e Navegação,20250608_1520,O que te fez entender como mover o submarino?,"As regras... As regras ajudaram, porque eu demorei um pouquinho a entender como funciona. E os... Como posso explicar? Tinha um tutorial, né? Que me ajudou a entender pra que funcionam os botões. Aí eu consegui... E o analógico é meio intuitivo. Mesmo no analógico, mexe no submarino, mas... Os botõezinhos e as dicas do jogo.","instruções no painel, entendimento por instrução, intuitivo"
4. Controle e Navegação,20250608_1520,Como foi a sua experiência ao controlar o submarino?,Divertido. Eu adorei mesmo a garrinha do submarino. Pra mim foi a parte mais divertida.,experiência positiva
4. Controle e Navegação,20250608_1520,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Quando eu esqueci que o meu braço era a garrinha, mas o submarino em si, que mexia no analógico, não tive dificuldade.",gatilho perdido e recuperado
4. Controle e Navegação,20250608_1520,Você sentiu que os controles respondiam bem aos seus comandos?,Sim.,experiência positiva
4. Controle e Navegação,20250608_1520,Como você identificou no controle o responsável por movimentar o submarino?,"Era um analógico, foi intuitivo.","intuitivo, experiência prévia"
4. Controle e Navegação,20250608_1520,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Analógico? Não.,"experiência prévia, gatilhode de fácil localização"
4. Controle e Navegação,20250609_2048,O que te fez entender como mover o submarino?,"Eu sou gamer. Eu sou gamer. Era do jeito que era. Inclusive esse é o modo 3 do drone DJI. É o modo 3. O modo 2 é invertido. O modo 2 no lado do joystick esquerdo é cima, baixo e rotação. E o direita é assim. E o modo 3 é esse.",experiência prévia
4. Controle e Navegação,20250609_2048,Como foi a sua experiência ao controlar o submarino?,"Boa, boa. Boa intuitiva. Ele tem uma física assim, não é tipo... Não é travadão.",controle positivo
4. Controle e Navegação,20250609_2048,"Houve alguma situação em que você não soube como movimentar o submarino? Se sim, o que fez para voltar ao comando?","Não, não houve.",não relacionado
4. Controle e Navegação,20250609_2048,Você sentiu que os controles respondiam bem aos seus comandos?,"Senti, senti. Se usasse os dois juntos, assim, como eu esperava, como esperava como gamer.",controle positivo
4. Controle e Navegação,20250609_2048,Como você identificou no controle o responsável por movimentar o submarino?,"É... É... Teve o tutorial, né? Mas também... Né? Futucando... Primeiramente, eu acho que eu só mexi depois que o tutorial falou. Ok.","descoberta por tentativa e erro, instruções no painel"
4. Controle e Navegação,20250609_2048,"Em algum momento você ""perdeu"" o gatilho responsável por movimentar o submarino? Se sim, o que fez para achá-lo novamente?",Não.,gatilhode de fácil localização
5. Radar e Localização de Animais,20250607_1653,Como você definia para onde mover o submarino?,Em direção aos peixes,exploração visual
5. Radar e Localização de Animais,20250607_1653,Como você localizava os animais marinhos?,Pelo brilho na borda deles.,exploração visual
5. Radar e Localização de Animais,20250607_1653,Quando você viu o radar pela primeira vez?,Nem vi se tinha radar.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1653,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?",Nem cheguei a ver.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1728,Como você definia para onde mover o submarino?,Em movimentar os controles.,confusão com elementos do controle
5. Radar e Localização de Animais,20250607_1728,Como você localizava os animais marinhos?,"Uma setinha, né? A setinha do controle.",dificuldade com radar
5. Radar e Localização de Animais,20250607_1728,Quando você viu o radar pela primeira vez?,Eu não vi radar nenhum.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1728,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?",Nem vi o radar.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1903,Como você definia para onde mover o submarino?,"Eu tava meio perdida em relação ao mapa, eu fiquei virando, virando, e aí eu só soube pro lado que eu tava olhando no mapa quando o peixinho ficou colorido, realmente.","dificuldade com radar, tentativa e erro"
5. Radar e Localização de Animais,20250607_1903,Como você localizava os animais marinhos?,"Então... Eu acho que eu tinha que me localizar pelo mapa, mas eu não me dei muito certo com o mapa, então eu fiquei olhando mais para a parte do vidro, do submarino, né, e tentando buscar ele por ali.","dificuldade com radar, exploração visual"
5. Radar e Localização de Animais,20250607_1903,Quando você viu o radar pela primeira vez?,Quando eu falo na orientação. Se perguntou se eu estava vendo o radar.,não relacionado
5. Radar e Localização de Animais,20250607_1903,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?",Sim. Não consegui interpretar corretamente.,dificuldade com radar
5. Radar e Localização de Animais,20250607_1941,Como você definia para onde mover o submarino?,De acordo com o radar e o... E as coisas que estavam no radar no fundo do mar.,uso do radar
5. Radar e Localização de Animais,20250607_1941,Como você localizava os animais marinhos?,No radar.,uso do radar
5. Radar e Localização de Animais,20250607_1941,Quando você viu o radar pela primeira vez?,Assim que foi comunicado. Foi por aí que eu...,"uso do radar, descoberta com ajuda das instruções"
5. Radar e Localização de Animais,20250607_1941,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?","Não, já tenho contato prévio com esse tipo de radar.","uso do radar, familiaridade prévia"
5. Radar e Localização de Animais,20250607_2206,Como você definia para onde mover o submarino?,Eu tentava me achar pelo mapa pra onde eu ia mesmo.,uso do mapa
5. Radar e Localização de Animais,20250607_2206,Como você localizava os animais marinhos?,Foi a movimentação mesmo. Explorando o ambiente.,exploração visual
5. Radar e Localização de Animais,20250607_2206,Quando você viu o radar pela primeira vez?,"Cara, acho que foi quando... Acho que ele estava instruindo ali no começo.",descoberta com ajuda das instruções
5. Radar e Localização de Animais,20250607_2206,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?","Sim, bastante. Eu acho que eu não interpretei direito, não.",dificuldade com radar
5. Radar e Localização de Animais,20250608_1448,Como você definia para onde mover o submarino?,"Pelo radar, né? Aquela partezinha coloridinha lá.",uso do radar
5. Radar e Localização de Animais,20250608_1448,Como você localizava os animais marinhos?,Pelo radar.,uso do radar
5. Radar e Localização de Animais,20250608_1448,Quando você viu o radar pela primeira vez?,"Acho que foi desde o começo, quando apareceu ali. Eu vi logo.",uso do radar
5. Radar e Localização de Animais,20250608_1448,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?","Não, achei bem intuitivo.",uso do radar
5. Radar e Localização de Animais,20250608_1520,Como você definia para onde mover o submarino?,Seguia os pontinhos vermelhos no radar.,uso do radar
5. Radar e Localização de Animais,20250608_1520,Como você localizava os animais marinhos?,Usava o radar e confirmava pela janelinha do submarino.,"uso do radar, exploração visual"
5. Radar e Localização de Animais,20250608_1520,Quando você viu o radar pela primeira vez?,Logo que começou o jogo.,uso do radar
5. Radar e Localização de Animais,20250608_1520,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?","Não, já sabia como funcionava.","uso do radar, familiaridade prévia"
5. Radar e Localização de Animais,20250609_2048,Como você definia para onde mover o submarino?,Eu ia pro lado que tinha coisa no radar.,uso do radar
5. Radar e Localização de Animais,20250609_2048,Como você localizava os animais marinhos?,Radar e olhando pela frente do submarino.,"uso do radar, exploração visual"
5. Radar e Localização de Animais,20250609_2048,Quando você viu o radar pela primeira vez?,Quando o jogo começou. Estava no painel.,uso do radar
5. Radar e Localização de Animais,20250609_2048,"Em algum momento você ficou em dúvida em como interpretar o radar? Se sim, o que fez para interpretar corretamente?","No começo sim, mas depois ficou fácil.","dificuldade inicial com radar, uso do radar"
6. Captura de animais marinhos,20250607_1653,Como você identificou no controle o gatilho responsável por fechar e abrir as garras?,Quando eu experimentei o gatilho,descoberta por tentativa e erro
6. Captura de animais marinhos,20250607_1653,Como foi sua experiência ao tentar capturar um animal marinho?,Foi a melhor.,experiência positiva
6. Captura de animais marinhos,20250607_1653,Como você sabia o momento certo para fechar as garras?,Quando eu ia em direção ao brilho deles.,fechamento baseado em pista visual
6. Captura de animais marinhos,20250607_1653,Você teve alguma dificuldade nessa ação? Se sim como resolveu?,"No início sim, depois não.",dúvidas no início
6. Captura de animais marinhos,20250607_1653," Em algum momento você ""perdeu"" no controle o gatilho responsável por fechar e abrir as garras?",Não,gatilho de fácil localização
